event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
BGD28076,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),AL: Bangladesh Awami League,Rioters,Rioters-Rioters,,50,South Asia,Bangladesh,Khulna,Satkhira,Assasuni,Kalyanpur,22.3891,89.2014,1,Prothom Alo,National,"On 5 August 2024, several thousand people attacked the house of a local AL leader in Kalyanpur village (Satkhira, Khulna), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. The AL leader fired at the crowd, leading to 3 people being killed, after which the mob set ablaze his house and beat and killed the AL leader along with 5 of his relatives. Total 9 fatalities.",9,crowd size=a thousand,1723576772
BGD28079,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters only,,50,South Asia,Bangladesh,Rajshahi,Pabna,Santhia,Santhia,24.0532,89.5623,1,Prothom Alo,National,"On 5 August 2024, a mob vandalized the residences of Awami League leaders and offices of Awami League in Santhia town, Santhia upazila (Pabna, Rajshahi), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",0,crowd size=no report,1723576772
BGD28080,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters only,,50,South Asia,Bangladesh,Dhaka,Faridpur,Sadarpur,Sadarpur,23.4617,90.0358,2,Prothom Alo,National,"On 5 August 2024, unidentified persons vandalized a pharmacy and a grocery store (likely belonging to Hindus based on their names) in Hatkrishnapur market of Sadarpur upazila (Faridpur, Dhaka), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",0,crowd size=no report,1723576772
BGD28081,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters only,,50,South Asia,Bangladesh,Rajshahi,Rajshahi,Boalia,Rajshahi,24.374,88.6011,1,Prothom Alo,National,"On 5 August 2024, unidentified persons vandalized and set ablaze various buildings including, the Rajshahi Metropolitan Police headquarters and Rajshahi Nagar building, offices of AL and its affiliate wings, properties within the North Bengal International University (founded by AL member) in Rajshahi city (Boalia), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. They also vandalized a branch of Agrani Bank and looted various goods including the air conditioner (AC), fan, computer, and curtain, from these buildings.",0,crowd size=no report; local administrators,1723576772
BGD28082,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters only,,50,South Asia,Bangladesh,Chittagong,Khagrachhari,Panchhari,Panchhari,23.3147,91.9438,2,Prothom Alo,National,"On 5 August 2024, unidentified persons vandalized the offices of Awami League in Panchhari upazila (Khagrachhari, Chittagong), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",0,crowd size=no report,1723576773
BGD28083,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters only,,50,South Asia,Bangladesh,Dhaka,Narayanganj,Narayanganj Sadar,Narayanganj,23.6135,90.503,1,Dhaka Tribune,National,"On 5 August 2024, unidentified persons set fire to the residence of member of parliament (AL), and district Awami League office, in Narayanganj city, Narayanganj Sadar (Dhaka), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",0,crowd size=no report,1723576773
BGD28084,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters only,,50,South Asia,Bangladesh,Mymensingh,Mymensingh,Mymensingh Sadar,Mymensingh,24.7564,90.4065,1,Prothom Alo,National,"On 5 August 2024, unidentified persons demolished the sculpture of the Greek goddess Venus in the middle of the Sashilj fountain in Mymensingh city (Bangladesh) amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",0,crowd size=no report,1723576773
BGD28085,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters only,,50,South Asia,Bangladesh,Chittagong,Chittagong,Mirsharai,Mirsharai,22.7785,91.57,2,Prothom Alo,National,"On 5 August 2024, unidentified vandalized the offices and establishments of Awami League leaders, rural electricity office, and municipality office in Mirsharai upazila (Chittagong), during victory processions amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",0,crowd size=no report; local administrators,1723576773
BGD28086,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters only,,50,South Asia,Bangladesh,Chittagong,Khagrachhari,Manikchhari,Manikchhari,22.8396,91.8413,2,Prothom Alo,National,"On 5 August 2024, unidentified persons vandalized the offices of Awami League in Manikchhari upazila (Khagrachhari, Chittagong), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",0,crowd size=no report,1723576773
BGD28087,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party; JeI: Jamaat-e-Islami,Rioters,Rioters only,,50,South Asia,Bangladesh,Barisal,Patuakhali,Kala Para,Kuakata,21.8233,90.1212,1,Prothom Alo,National,"On 5 August 2024, participants of a victory rally vandalized the house and temple of Kuakata Municipal Awami League Joint General Secretary, a Hindu, Kuakata town (Patuakhali, Barishal), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. The victim claimed the role of local BNP and Jamat-e-Islami members. Local BNP leaders have denied the claim.",0,crowd size=no report,1723576773
